"","zip","required_testing","not_required_testing","required_testing_tested","required_testing_not_tested","number_of_first_tests","first_test_pos_required","first_test_neg_required","first_test_pos_req_percent","latest_test_positive_required","latest_test_negative_required","latest_test_pos_required_percent","any_test_positive_all","any_test_positive_req","number_of_facilities_tested_all","number_of_facilities_tested_req","atp_percent_of_tested_all","atp_percent_of_tested_req","max_capacity_required","day_night_capacity_required","max_capacity_all","day_night_capacity_all","atp_max_capacity_req","ltp_max_capacity_req","ltp_percent_bucket","ltp_count_bucket","ftp_percent_bucket","ftp_count_bucket","atp_count_bucket","atp_percent_bucket","atp_mc_bucket","ltp_mc_bucket","should_bucket"
"171","60445",4,1,3,1,4,1,3,25,1,2,33.3333333333333,1,1,0,0,Inf,Inf,91,99,244,302,8,8,"Greater than 30%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"172","60446",4,10,0,4,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,85,100,491,553,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"173","60447",1,4,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,83,83,118,123,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"174","60448",2,3,0,2,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,252,252,619,619,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"175","60449",2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,20,40,181,201,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"176","60450",2,3,0,2,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,52,52,217,221,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"177","60451",4,5,2,2,2,0,2,0,0,2,0,0,0,0,0,NA,NA,132,132,654,660,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"178","60452",6,0,4,2,4,1,3,25,0,4,0,1,1,0,0,Inf,Inf,294,301,294,301,123,0,"0%","0","21 - 30%","01 - 5","01 - 5","More than 50%","101 - 200","0","01 - 10"
"179","60453",10,4,6,4,6,1,5,16.6666666666667,1,5,16.6666666666667,1,1,0,0,Inf,Inf,269,305,589,632,7,7,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"180","60455",2,0,2,0,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,148,148,148,148,89,89,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","0"
"181","60457",2,0,1,1,2,0,2,0,0,1,0,0,0,0,0,NA,NA,17,17,27,37,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"182","60458",2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,142,142,142,142,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"183","60459",4,2,1,3,3,1,2,33.3333333333333,1,0,100,1,1,0,0,Inf,Inf,141,147,195,209,58,58,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","01 - 10"
"184","60461",3,0,3,0,3,0,3,0,0,3,0,0,0,0,0,NA,NA,22,36,94,108,0,0,"0%","0","0","0","0",NA,"0","0","0"
"185","60462",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,88,88,257,257,0,0,"0%","0","0","0","0",NA,"0","0","0"
"186","60463",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,121,121,121,121,0,0,"0%","0","0","0","0",NA,"0","0","0"
"187","60464",2,0,2,0,2,0,2,0,0,2,0,0,0,0,0,NA,NA,159,159,159,159,0,0,"0%","0","0","0","0",NA,"0","0","0"
"188","60465",5,0,5,0,6,0,6,0,0,5,0,0,0,0,0,NA,NA,423,435,494,506,0,0,"0%","0","0","0","0",NA,"0","0","0"
"189","60466",15,2,11,4,11,0,11,0,0,11,0,0,0,0,0,NA,NA,172,295,842,985,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"190","60467",1,3,0,1,1,0,1,0,0,0,NA,0,0,0,0,NA,NA,159,159,574,574,0,0,NA,"0","0","0","0",NA,"0","0","01 - 10"
"191","60468",1,1,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,8,73,73,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"192","60469",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,11,22,11,22,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"193","60471",10,3,7,3,7,1,6,14.2857142857143,2,5,28.5714285714286,2,2,0,0,Inf,Inf,76,133,552,631,13,13,"20.01 - 30.0%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"194","60472",2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,55,62,82,116,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"195","60473",39,0,18,21,18,3,15,16.6666666666667,3,15,16.6666666666667,3,3,0,0,Inf,Inf,631,884,1160,1473,21,21,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","21 - 30"
"196","60475",6,2,4,2,4,0,4,0,0,4,0,0,0,0,0,NA,NA,191,224,448,497,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"197","60476",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,8,16,8,16,0,0,"0%","0","0","0","0",NA,"0","0","0"
"198","60477",9,2,4,5,5,0,5,0,0,4,0,0,0,0,0,NA,NA,353,367,783,797,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"199","60478",20,3,18,2,20,0,20,0,0,18,0,0,0,0,0,NA,NA,285,415,711,884,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"200","60481",2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,16,16,16,16,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"201","60482",2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,49,57,49,57,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"202","60484",3,4,1,2,2,1,1,50,1,0,100,1,1,0,0,Inf,Inf,109,113,315,342,57,57,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","01 - 10"
"203","60487",2,0,1,1,2,0,2,0,0,1,0,0,0,0,0,NA,NA,16,24,159,167,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"204","60490",7,20,1,6,1,0,1,0,0,1,0,0,0,0,0,NA,NA,60,100,509,645,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"205","60491",2,0,0,2,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,174,174,174,174,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"206","60501",6,2,4,2,6,1,5,16.6666666666667,0,4,0,1,0,0,0,Inf,NA,187,195,206,226,0,0,"0%","0","14 - 20%","01 - 5","0",NA,"0","0","01 - 10"
"207","60502",4,3,0,4,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,179,187,333,341,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"208","60503",1,9,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,46,46,403,407,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"209","60504",12,10,1,11,2,1,1,50,0,1,0,1,0,0,0,Inf,NA,554,572,1537,1568,0,0,"0%","0","31 - 50%","01 - 5","0",NA,"0","0","11 - 20"
"210","60505",17,2,7,10,9,8,1,88.8888888888889,3,4,42.8571428571429,8,7,0,0,Inf,Inf,241,390,573,742,100,68,"Greater than 30%","01 - 5","More than 50%","06 - 10","06 - 10","More than 50%","051 - 100","051 - 100","01 - 10"
"211","60506",17,4,8,9,9,8,1,88.8888888888889,3,5,37.5,8,8,0,0,Inf,Inf,460,523,838,917,100,22,"Greater than 30%","01 - 5","More than 50%","06 - 10","06 - 10","More than 50%","051 - 100","016 - 30","01 - 10"
"212","60510",5,4,3,2,3,2,1,66.6666666666667,2,1,66.6666666666667,2,2,0,0,Inf,Inf,239,243,440,479,112,112,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","01 - 10"
"213","60511",2,0,2,0,2,0,2,0,0,2,0,0,0,0,0,NA,NA,16,16,16,16,0,0,"0%","0","0","0","0",NA,"0","0","0"
"214","60513",4,0,4,0,5,0,5,0,0,4,0,0,0,0,0,NA,NA,81,81,146,146,0,0,"0%","0","0","0","0",NA,"0","0","0"
