"","county","required_testing","not_required_testing","required_testing_tested","required_testing_not_tested","number_of_first_tests","first_test_pos_required","first_test_neg_required","first_test_pos_req_percent","latest_test_positive_required","latest_test_negative_required","latest_test_pos_required_percent","any_test_positive_all","any_test_positive_req","number_of_facilities_tested_all","number_of_facilities_tested_req","atp_percent_of_tested_all","atp_percent_of_tested_req","max_capacity_required","day_night_capacity_required","max_capacity_all","day_night_capacity_all","atp_max_capacity_req","ltp_max_capacity_req","ltp_percent_bucket","ltp_count_bucket","ftp_percent_bucket","ftp_count_bucket","atp_count_bucket","atp_percent_bucket","atp_mc_bucket","ltp_mc_bucket","should_bucket"
"55","Macoupin County",28,7,10,18,10,3,7,30,3,7,30,3,3,0,0,Inf,Inf,474,479,669,674,167,167,"20.01 - 30.0%","01 - 5","21 - 30%","01 - 10","01 - 10","More than 50%","101 - 250","101 - 250","11 - 20"
"56","Madison County",80,12,36,44,39,18,21,46.1538461538462,12,24,33.3333333333333,19,18,0,0,Inf,Inf,3755,4174,5264,5701,819,483,"Greater than 30%","11 - 19","31 - 50%","11 - 20","11 - 20","More than 50%","501 - 819","251 - 500","40 - 80"
"57","Marion County",20,6,9,11,14,3,11,21.4285714285714,2,7,22.2222222222222,3,3,0,0,Inf,Inf,705,745,1019,1113,134,56,"20.01 - 30.0%","01 - 5","21 - 30%","01 - 10","01 - 10","More than 50%","101 - 250","05 - 100","11 - 20"
"58","Marshall County",3,0,0,3,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,33,33,33,33,0,0,NA,"0",NA,NA,"0",NA,"0","0","02 - 10"
"59","Mason County",12,1,2,10,3,1,2,33.3333333333333,0,2,0,1,0,0,0,Inf,NA,201,201,276,276,0,0,"0%","0","31 - 50%","01 - 10","0",NA,"0","0","02 - 10"
"60","Massac County",4,0,2,2,2,1,1,50,0,2,0,1,1,0,0,Inf,Inf,247,247,247,247,157,0,"0%","0","31 - 50%","01 - 10","01 - 10","More than 50%","101 - 250","0","02 - 10"
"61","McDonough County",16,1,0,16,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,535,537,549,561,0,0,NA,"0",NA,NA,"0",NA,"0","0","11 - 20"
"62","McHenry County",54,32,13,41,14,4,10,28.5714285714286,3,10,23.0769230769231,4,3,0,0,Inf,Inf,2073,2131,6264,6570,80,80,"20.01 - 30.0%","01 - 5","21 - 30%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","40 - 80"
"63","McLean County",90,25,28,62,33,13,20,39.3939393939394,11,17,39.2857142857143,13,11,0,0,Inf,Inf,1547,1667,3466,3729,110,110,"Greater than 30%","11 - 19","31 - 50%","11 - 20","11 - 20","More than 50%","101 - 250","101 - 250","40 - 80"
"64","Menard County",15,0,8,7,9,5,4,55.5555555555556,4,4,50,5,4,0,0,Inf,Inf,277,289,297,309,36,36,"Greater than 30%","01 - 5","More than 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","02 - 10"
"65","Mercer County",10,1,2,8,2,0,2,0,0,2,0,0,0,0,0,NA,NA,141,141,199,202,0,0,"0%","0","0","0","0",NA,"0","0","02 - 10"
"66","Monroe County",8,4,3,5,4,3,1,75,3,0,100,3,3,0,0,Inf,Inf,662,662,1392,1404,268,268,"Greater than 30%","01 - 5","More than 50%","01 - 10","01 - 10","More than 50%","251 - 500","251 - 500","02 - 10"
"67","Montgomery County",13,4,6,7,7,0,7,0,0,6,0,0,0,0,0,NA,NA,236,244,403,419,0,0,"0%","0","0","0","0",NA,"0","0","02 - 10"
"68","Morgan County",23,1,6,17,6,0,6,0,0,6,0,0,0,0,0,NA,NA,595,616,667,688,0,0,"0%","0","0","0","0",NA,"0","0","11 - 20"
"69","Moultrie County",9,0,2,7,3,2,1,66.6666666666667,2,0,100,2,2,0,0,Inf,Inf,225,225,233,233,99,99,"Greater than 30%","01 - 5","More than 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","02 - 10"
"70","Ogle County",32,14,14,18,17,2,15,11.7647058823529,1,13,7.14285714285714,2,1,0,0,Inf,Inf,412,471,720,803,7,7,"Greater than 30%","01 - 5","01 - 13%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","11 - 20"
"71","Peoria County",85,16,27,58,28,22,6,78.5714285714286,10,17,37.037037037037,22,22,0,0,Inf,Inf,3507,3692,4572,4768,1008,672,"Greater than 30%","06 - 10","More than 50%","21 - 44","21 - 32","More than 50%","820 - 1565","7533","40 - 80"
"72","Perry County",4,0,2,2,3,1,2,33.3333333333333,1,1,50,1,1,0,0,Inf,Inf,72,80,175,187,50,50,"Greater than 30%","01 - 5","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","02 - 10"
"73","Piatt County",13,2,1,12,1,0,1,0,0,1,0,0,0,0,0,NA,NA,175,179,209,213,0,0,"0%","0","0","0","0",NA,"0","0","11 - 20"
